Org_Name,Program_or_Clinic_Name,Parent_Org,Org_Type,Website,Main_Phone,General_Email,Main_Address_Line1,City_Town,State,ZIP,County,Number_of_Locations,Service_Area,Location_Type,Telehealth_Available,Telehealth_Service_Area,Serves_Refugees,Serves_Asylum_Seekers,Serves_Undocumented,Serves_Regardless_of_Immigration_Status,Specific_Communities_Focus,Service_Modalities,Clinical_Therapy,Psychiatric_Services,Home_or_Community_Based_Services,Traditional_or_Cultural_Healing,Immigration_Case_Evals_Asylum,Immigration_Legal_Services_Onsite_or_Partner,Legal_Mental_Health_Integrated,Settings,Other_Support_Description,Languages_Spoken_By_Staff_Other_Than_English,Bilingual_Clinicians_Languages,Interpreter_Services_Available,Interpreter_Languages,Cultural_Specific_Programs,Accepts_MassHealth,Accepts_Medicare,Accepts_Commercial_Insurance,Serves_Uninsured,Sliding_Scale_or_Low_Cost,Payment_Notes,Eligibility_Criteria,Other_Special_Expertise,Key_Programs_for_Immigrants,Community_Partners,Qualitative_Notes,Data_Source,Source_URL,,Latitude,Longitude,"Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"988 Suicide & Crisis Lifeline","988 Suicide & Crisis Lifeline – Massachusetts","SAMHSA / statewide network","Crisis/Urgent Care",https://988lifeline.org,"988 (call or text)",Unknown,Statewide,Statewide,MA,N/A,Statewide,N/A,"Statewide including all Middlesex County residents",Telehealth-only,Yes,"Nationwide including Massachusetts",Unknown,Unknown,Unknown,Yes,Unknown,"Crisis Services",No,No,No,No,No,No,No,Telehealth-only,"24/7 call and text crisis line; chat available at 988lifeline.org; Spanish-language option; Veterans Crisis Line option",Spanish,Unknown,Yes,"Spanish; others available through transfer",Unknown,"Yes – free",Unknown,Unknown,Yes,Unknown,"Free; no insurance required","All people in Massachusetts in crisis","Suicide prevention; mental health crisis support; referrals",Unknown,"Linked to local crisis centers including Middlesex County CBHCs","The 988 Suicide & Crisis Lifeline provides 24/7 free crisis support by call, text, or chat for all Massachusetts residents including Middlesex County, with a Spanish-language option and Veterans line. No insurance or identification required.","Mass.gov statewide resources; 988lifeline.org",https://988lifeline.org,,42.15652,-71.489592,1,state,,,MA,,,,,,,MA,,,,US,,"TIGER/Line® from the US Census Bureau",,
"988 Suicide & Crisis Lifeline","988 Lifeline – Massachusetts","SAMHSA / National (local routing to MA call centers)","Crisis/Urgent Care",https://988lifeline.org,"988 (call or text)",Unknown,"Statewide (routed to local MA call centers)",Statewide,MA,N/A,Statewide,Multiple,"Statewide, including all Norfolk County residents",Hybrid,Yes,Statewide,Unknown,Unknown,Unknown,"Yes – any person in crisis",Unknown,"Other – crisis counseling and warm referral",No,No,No,No,No,No,No,"Telehealth-only (phone, text, chat)","24/7 free and confidential; chat available at 988lifeline.org; Spanish-language line available","Spanish (dedicated line)",Unknown,Yes,"Spanish, and others via relay",No,Unknown,Unknown,Unknown,Unknown,Unknown,"Free to all; no insurance required","Any person in Massachusetts experiencing a mental health or suicidal crisis","Suicide and crisis intervention","Serves all, including immigrants; Spanish-language option available","EOHHS; SAMHSA","988 is the national three-digit crisis and suicide prevention lifeline, routed to Massachusetts-based call centers. It is free, confidential, and available 24/7 by call or text. A Spanish-language line is available, and interpreters can be arranged.","Mass.gov Roadmap page",https://www.mass.gov/roadmap-for-behavioral-health-reform,,0,0,0,,,,,,"Could not geocode address. No matches found.",,,,,,,,,,,,,
"988 Suicide & Crisis Lifeline","988 Lifeline – Massachusetts (call or text 988)","SAMHSA / administered by Vibrant Emotional Health; MA routing through local crisis centers","Crisis/Urgent Care",https://988lifeline.org,"988 (call or text)",Unknown,N/A,N/A,MA,N/A,"Statewide (serves Essex County)",Statewide,Telehealth-only,Yes,Statewide,Yes,Yes,Yes,Yes,Unknown,"Other (crisis counseling; de-escalation; referral)",No,No,No,No,Unknown,Unknown,Unknown,Telehealth-only,"24/7 crisis support; connection to local mobile crisis teams; Veterans line (press 1); Spanish line (press 2); LGBTQ+ line","Spanish (press 2); other languages via interpreter",Spanish,Yes,"Spanish and others via interpreter","LGBTQ+ specialized line (press 3)",Unknown,Unknown,Unknown,Yes,Unknown,"Free; no insurance required","Any person in crisis","Spanish-language crisis line; Veterans line; LGBTQ+ line","MA CBHCs; local ERs","The 988 Suicide & Crisis Lifeline routes callers to local crisis centers and can connect them with mobile crisis teams. Free, confidential, 24/7. Specialized lines for Veterans (press 1), Spanish speakers (press 2), and LGBTQ+ individuals (press 3).","988lifeline.org; Danvers MA website",https://988lifeline.org,,,,42.531928,-70.911633,0.6,intersection,"Ave A and N St",,"Salem, MA 01970",,,"Ave A",,,Salem,MA,,"Essex County",01970,US,,"© OpenStreetMap contributors",,
"988 Suicide & Crisis Lifeline","988 Crisis Line – Statewide","SAMHSA / Massachusetts","Crisis/Urgent Care",https://988lifeline.org,"988 (call or text)",Unknown,"Statewide (virtual)",Statewide,MA,Statewide,Statewide,"1 (virtual statewide)","All of Massachusetts including Bristol County",Telehealth-only,Yes,"All of Massachusetts",Unknown,Unknown,Unknown,Yes,"All communities","Crisis Intervention",No,No,No,No,No,No,No,Telehealth-only,"24/7 call/text/chat; routing to nearest crisis center; specialized lines for veterans (Press 1), LGBTQ+ (Press 3), Spanish (option available)","Spanish available; others via interpretation",Unknown,Yes,"Spanish and other languages",Unknown,No,No,No,Yes,No,"Free; no insurance required; no personal identification needed","Anyone in crisis regardless of age, insurance, or immigration status","National crisis line localized to nearest MA center; LGBTQ+ option; veteran option; text available",Unknown,"SAMHSA; local crisis centers","988 is the national Suicide & Crisis Lifeline, available 24/7 via call or text from anywhere in Massachusetts including Bristol County. Free, confidential, and accessible to all regardless of immigration status or insurance. Specialized lines available for veterans and LGBTQ+ individuals.","SAMHSA; 988lifeline.org",https://988lifeline.org,,42.15652,-71.489592,1,state,,,MA,,,,,,,MA,,,,US,,"TIGER/Line® from the US Census Bureau",,
"988 Suicide and Crisis Lifeline","988 – Suicide and Crisis Lifeline (Massachusetts)","SAMHSA / Vibrant Emotional Health (national); MA-routed","Crisis/Urgent Care",https://988lifeline.org,"988 (call or text)",Unknown,"N/A (telephone/web-based)","N/A (Statewide)",MA,N/A,Statewide,N/A,"Statewide (including all Suffolk County residents)",Telehealth-only,Yes,Statewide,Yes,Yes,Yes,Yes,"Spanish-language line available; veterans line","Crisis Intervention; Referrals",No,No,No,No,No,No,No,Telehealth-only,"Peer-trained crisis counselors; chat available; specialized lines for veterans and Spanish speakers",Spanish,Unknown,Yes,"Spanish (Spanish-language line available)","Veterans support line; Spanish-language line",Yes,Unknown,Yes,Unknown,Unknown,"Free; no insurance required","Anyone in a mental health crisis or distress; no insurance required","Suicide; self-harm; mental health crisis","All Suffolk County and statewide residents including immigrants; Spanish-language option","SAMHSA; local MA crisis centers","988 is the national 3-digit suicide and crisis lifeline, routed to MA-based centers. Available 24/7 via call, text, or chat, in Spanish and English, and including a specialized veterans line. Free to all callers.",988lifeline.org,https://988lifeline.org,,42.299319,-70.881486,0.93,street_center,"N St",,"Hull, MA 02045",,,"N St",,,Hull,MA,,"Plymouth County",02045,US,,"TIGER/Line® from the US Census Bureau",gcod_ussjxtkmwqrbvgud,
"Abelard Psychotherapy LLC","Abelard Psychotherapy","Unknown (private)","Private Practice – Solo",http://abelardpsychotherapy.com,"(781) 344-0057",Unknown,"450 Pearl Street, Suite 3",Stoughton,MA,2072,Norfolk,1,"Stoughton; greater Plymouth/Norfolk county area including Brockton communities",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,"Haitian; Portuguese; Spanish-speaking communities","Individual Therapy; Home-Based Therapy; Therapeutic Mentoring",Yes,Yes,Yes,No,No,No,No,"Clinic; Home-based","In-home therapy; therapeutic mentoring","Haitian Creole; Portuguese; Spanish","Haitian Creole; Portuguese; Spanish",Yes,"Haitian Creole; Portuguese; Spanish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"All ages including children","In-home therapy; therapeutic mentoring; multilingual",Unknown,"Abelard Psychotherapy in Stoughton (bordering Plymouth County) provides individual therapy, medication management, in-home therapy, and therapeutic mentoring with staff speaking Haitian Creole, Portuguese, and Spanish. Serves communities across greater Brockton area and adjacent Plymouth County communities.","DMH SE Directory",https://www.mass.gov/doc/downloadable-southeast-area-resources/download,,,,42.136211,-71.112352,1,rooftop,"450 Pearl St","Ste 3","Stoughton, MA 02072",,450,"Pearl St",Ste,3,Stoughton,MA,,"Norfolk County",02072,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns84acfuns6thfbscnu6an2pjyh-wr7avfjrk9rlc,building_centroid
"Abelard Psychotherapy, LLC","Outpatient Therapy & In-Home Services – Southeast MA (including Bristol County)","Abelard Psychotherapy, LLC","Private Practice – Group",Unknown,"(781) 344-0057",Unknown,"450 Pearl St, Suite 3",Stoughton,MA,2072,"Norfolk (serves Bristol County)",1,"Southeast MA including Bristol County",Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Haitian Creole; Portuguese; Spanish-speaking communities in Bristol County","Individual Therapy; Psychoeducation; Case Management",Yes,No,Yes,No,No,No,No,"Clinic; Home-based","Individual therapy; medication management; in-home therapy; therapeutic mentoring services; serves communities in southeast MA including Bristol County","Haitian Creole; Portuguese; Spanish","Haitian Creole; Portuguese; Spanish",Yes,"Haitian Creole; Portuguese; Spanish","Haitian community; Portuguese-speaking; Spanish-speaking",Yes,Unknown,Yes,Unknown,Unknown,"MassHealth; commercial","Adults in Southeast MA, including Bristol County","Multilingual therapy and in-home services; Haitian Creole, Portuguese, Spanish",Unknown,Unknown,"Abelard Psychotherapy provides individual therapy, medication management, in-home therapy, and therapeutic mentoring in Haitian Creole, Portuguese, and Spanish, serving clients across southeastern Massachusetts including Bristol County. One of the few private practice providers explicitly offering Haitian Creole–language services in the Southeast DMH region.","DMH Multicultural MH Directory 2018",https://www.mass.gov/doc/downloadable-southeast-area-resources/download,,0,0,0,,,,,,,,,,,,,,,,,,,
"ACA Family Counseling Services, Inc.","ACA Family Counseling – Lawrence (BH Urgent Care)","ACA Family Counseling Services, Inc.","Community Mental Health Clinic",Unknown,"(978) 989-9902",Unknown,"599 Canal Street, 5th Fl, West Suite 12",Lawrence,MA,1840,Essex,"1 (this site)","Lawrence and Merrimack Valley",Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Individual Therapy; Group Therapy; Psychiatric Medication Management",Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Clinic,"BH Urgent Care; Mon–Fri 9am–6:30pm (Tue–Thu until 8pm); Saturdays 9am–1pm",Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,"MassHealth accepted; other coverage unknown","All ages",Unknown,Unknown,"ACA Family Counseling in Lawrence is a Behavioral Health Urgent Care site with extended hours including Saturdays and telehealth. Serves all ages in the Merrimack Valley.","MABHA BH Urgent Care directory (April 2026)",https://www.mass.gov/files/csv/2026-04/MABHA%20directory%20as%20of%204.10.26%20%282%29_0.csv,,,42.703793,-71.165992,1,rooftop,"599 Canal St","Ste 5","Lawrence, MA 01840",,599,"Canal St",Ste,5,Lawrence,MA,,"Essex County",01840,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzrlszjxzrhyydtqwhmtbwlsx66-x95a32ue73nwe,unit
"Achieve TMS East","TMS and Psychiatric Outpatient – Quincy","Achieve TMS East","Private Practice – Group",https://www.achievetmseast.com,Unknown,Unknown,"1266 Furnace Brook Parkway, Suite 300",Quincy,MA,2169,Norfolk,1,"Quincy and surrounding South Shore","In-person only",No,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,"Psychiatric Medication Management; Other – TMS (transcranial magnetic stimulation)",No,Yes,No,No,No,No,No,Clinic,"Outpatient TMS (transcranial magnetic stimulation) treatment; psychiatric evaluation and medication management",Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,"Call for details","Adults requiring TMS or psychiatric medication management","TMS for depression and OCD",Unknown,Unknown,"Achieve TMS East provides outpatient transcranial magnetic stimulation (TMS) and psychiatric services in Quincy, serving adults with treatment-resistant depression and OCD.",Mentalhealthclinics.org,https://www.mentalhealthclinics.org/clinics/massachusetts/norfolk-county.html,,42.243774,-71.024633,1,rooftop,"1266 Furnace Brook Pkwy","Ste 300","Quincy, MA 02169",,1266,"Furnace Brook Pkwy",Ste,300,Quincy,MA,,"Norfolk County",02169,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3j9zmefalbqy8y26fj66p4w2md-ezecv4nztb3h8,building_centroid
"Action for Boston Community Development (ABCD)","Mental Health and Community Support Services","Action for Boston Community Development","Community-Based Organization",https://www.bostonabcd.org/,"(617) 357-6000",Unknown,"178 Tremont Street",Boston,MA,2111,Suffolk,"Multiple (neighborhood centers throughout Boston)","Boston / Suffolk County","In-person only",No,Unknown,Unknown,Unknown,Unknown,Unknown,"Low-income communities; immigrant communities","Case Management; Support Groups; Referrals; Psychoeducation",No,No,No,No,No,No,No,"Community Center","Head Start; youth development; job training; elder services; housing; mental health navigation and referrals; case management","Multiple (neighborhood centers serve diverse communities)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free community services","Low-income Boston residents; all ages","Mental health navigation; case management for low-income families","Immigrant communities in Boston neighborhoods","Neighborhood health centers; city of Boston; community partners","ABCD is Boston's largest community action agency, operating neighborhood centers throughout Suffolk County that provide mental health navigation, case management, and referrals for low-income and immigrant communities. Head Start, elder services, and youth development programs also address mental health-related social determinants.","ABCD website",https://www.bostonabcd.org/,,42.352899,-71.064081,1,rooftop,"178 Tremont St",,"Boston, MA 02111",,178,"Tremont St",,,Boston,MA,,"Suffolk County",02111,US,,"City of Boston",gcod_usns9waugvxca8u6yn7pqvcu3tmt6,building_centroid
